file,workload,cache,distribution,threadcount,total_ops,total_p99_us,read_p99_us,hit_rate,repeat_ratio,cache_norm,speedup,latency_speedup
WorkloadVsDistribution_wlA_detox_uniform_t32_ASYNC.out,A,detox,uniform,32,4351.4,9650175.0,20495.0,0.0975,0.0512,detox,0.15177325743624084,0.48670407416443034
WorkloadVsDistribution_wlC_lru_hotspot_t32_ASYNC.out,C,lru,hotspot,32,39006.4,15311.0,15311.0,0.1675,0.16760000000000003,lru,1.1566568021018047,0.4968323427601071
WorkloadVsDistribution_wlA_lfu_uniform_t32_ASYNC.out,A,lfu,uniform,32,31321.0,17711.0,20255.0,0.057,0.057699999999999994,lfu,1.092450750599922,0.4924709948160948
WorkloadVsDistribution_wlA_density_uniform_t32_ASYNC.out,A,density,uniform,32,4386.5,11608063.0,12124159.0,0.0508,0.0508,density,0.15299751660248898,0.0008227374781211629
WorkloadVsDistribution_wlC_none_sequential_t32_ASYNC.out,C,none,sequential,32,55966.8,6803.0,6803.0,,,none,1.0,1.0
WorkloadVsDistribution_wlC_none_uniform_t32_ASYNC.out,C,none,uniform,32,26407.6,9439.0,9439.0,,,none,1.0,1.0
WorkloadVsDistribution_wlC_density_sequential_t32_ASYNC.out,C,density,sequential,32,4150.3,6258687.0,6258687.0,0.0,0.0,density,0.07415646418948377,0.001086969199769856
WorkloadVsDistribution_wlA_lru_uniform_t32_ASYNC.out,A,lru,uniform,32,39540.7,16687.0,19647.0,0.056900000000000006,0.0575,lru,1.3791471343266921,0.5077111009314399
WorkloadVsDistribution_wlA_detox_zipfian_t32_ASYNC.out,A,detox,zipfian,32,82447.3,12983.0,15143.0,0.6623,0.49520000000000003,detox,2.403494144844052,0.6645314666842765
WorkloadVsDistribution_wlC_lfu_sequential_t32_ASYNC.out,C,lfu,sequential,32,20058.5,20399.0,20399.0,0.0,0.0,lfu,0.35839997998813583,0.3334967400362763
WorkloadVsDistribution_wlB_detox_zipfian_t32_ASYNC.out,B,detox,zipfian,32,59282.8,8043.0,8647.0,0.5081,0.4953,detox,1.181466519721069,0.8154273158320805
WorkloadVsDistribution_wlB_density_hotspot_t32_ASYNC.out,B,density,hotspot,32,40267.0,13151.0,13271.0,0.1677,0.1677,density,1.0930861965530065,0.5771230502599654
WorkloadVsDistribution_wlC_lfu_zipfian_t32_ASYNC.out,C,lfu,zipfian,32,36024.1,15231.0,15231.0,0.49520000000000003,0.49520000000000003,lfu,1.0733213757925348,0.6081675530168735
WorkloadVsDistribution_wlC_detox_uniform_t32_ASYNC.out,C,detox,uniform,32,32063.2,10759.0,10759.0,0.0576,0.0576,detox,1.214165618988473,0.8773120178455247
WorkloadVsDistribution_wlB_density_sequential_t32_ASYNC.out,B,density,sequential,32,4162.6,6524927.0,6524927.0,0.0,0.0,density,0.1188129550819326,0.0013877549894427937
WorkloadVsDistribution_wlC_lru_zipfian_t32_ASYNC.out,C,lru,zipfian,32,50754.2,14671.0,14671.0,0.4955,0.4955,lru,1.5121978833961005,0.6313816372435417
WorkloadVsDistribution_wlC_lru_sequential_t32_ASYNC.out,C,lru,sequential,32,27279.7,17199.0,17199.0,0.0,0.0,lru,0.4874264742668868,0.3955462526891098
